_epochs=10, n_batch=128, 1/2=64, b/e=28, steps=280
>114, c[0.000,0], d[0.969,0.418], g[1.661]
>115, c[0.000,0], d[0.775,0.535], g[1.362]
>116, c[0.000,0], d[0.611,0.671], g[1.273]
>117, c[0.000,0], d[0.551,0.716], g[1.379]
>118, c[0.000,0], d[0.570,0.665], g[1.554]
>119, c[0.000,0], d[0.605,0.585], g[1.685]
>120, c[0.000,0], d[0.603,0.531], g[1.749]
>121, c[0.000,0], d[0.538,0.511], g[1.882]
>122, c[0.000,0], d[0.449,0.469], g[2.174]
>123, c[0.000,0], d[0.346,0.383], g[2.701]
>124, c[0.000,0], d[0.210,0.260], g[3.482]
>125, c[0.000,0], d[0.096,0.137], g[4.374]
>126, c[0.000,0], d[0.035,0.065], g[5.195]
>127, c[0.000,0], d[0.013,0.032], g[5.835]
>128, c[0.000,0], d[0.007,0.020], g[6.368]
>129, c[0.000,0], d[0.005,0.013], g[6.834]
>130, c[0.000,0], d[0.005,0.008], g[7.125]
>131, c[0.000,0], d[0.005,0.007], g[7.367]
>132, c[0.000,0], d[0.005,0.011], g[8.426]
>133, c[0.000,0], d[0.098,0.001], g[-6.902]
>134, c[0.000,0], d[0.000,8.207], g[-1.762]
>135, c[0.000,0], d[0.045,3.122], g[0.462]
>136, c[0.000,0], d[0.352,1.209], g[1.874]
>137, c[0.000,0], d[0.999,0.453], g[2.079]
>138, c[0.000,0], d[1.133,0.383], g[1.686]
>139, c[0.000,0], d[0.880,0.525], g[1.300]
>140, c[0.000,0], d[0.671,0.701], g[1.141]
>141, c[0.000,0], d[0.594,0.784], g[1.183]
>142, c[0.000,0], d[0.608,0.763], g[1.301]
>143, c[0.000,0], d[0.661,0.702], g[1.394]
>144, c[0.000,0], d[0.702,0.657], g[1.424]
>145, c[0.000,0], d[0.713,0.644], g[1.406]
>146, c[0.000,0], d[0.701,0.653], g[1.376]
>147, c[0.000,0], d[0.680,0.669], g[1.362]
>148, c[0.000,0], d[0.670,0.678], g[1.367]
>149, c[0.000,0], d[0.666,0.677], g[1.385]
>150, c[0.000,0], d[0.664,0.669], g[1.410]
>151, c[0.000,0], d[0.666,0.659], g[1.430]
>152, c[0.000,0], d[0.662,0.650], g[1.450]
>153, c[0.000,0], d[0.645,0.643], g[1.508]
>154, c[0.000,0], d[0.631,0.618], g[1.597]
